Chunk,Model,Model type,Faces,Faces 98%,Vertices,Vertices 98%,Resolution mean (m^2),Resolution mean 98% (m^2),Resolution median (m^2),Resolution median 98% (m^2),Max resolution (m^2),Min resolution (m^2),Resolution range (m^2),Max resolution 98% (m^2),Min resolution 98% (m^2),Resolution range 98% (m^2),Mean Confidence,Median Confidence,Max Confidence,Min Confidence,RMS Reprojection Error (pixels),Max Reprojection Error (pixels)
786,786_closed,Mesh,30818,30201,15411,15102,9.13556425249211E-07,5.09955524354891E-07,3.77774527489025E-07,3.77774527489025E-07,0.0011921308163775400,0.0,0.0011921308163775400,1.82362951430825E-06,8.22789811867721E-08,1.74135053312148E-06,62.02656345276840,37.85714340209960,254.0,0.0,4.2637294127832600,15.93834546493290
787,787_scene,Mesh,869666,852272,436514,427783,1.07719316366187E-06,5.745645067544E-07,3.9927873304058E-07,3.9927873304058E-07,0.0013226057896465700,0.0,0.0013226057896465700,5.2485452377128E-06,9.06032033878382E-08,5.15794203432496E-06,61.09690599531090,36.0,254.0,0.0,5.6421502541611500,22.76481699519530
787,787_open,Mesh,31596,30964,15931,15612,1.07450525498388E-06,5.46016662330469E-07,3.98884551167063E-07,3.98884551167063E-07,0.0013226057896465700,0.0,0.0013226057896465700,2.63603141755549E-06,1.01968728106964E-07,2.53406268944853E-06,60.9669681543388,36.0,254.0,0.0,5.6421502541611500,22.76481699519530
787,787_closed,Mesh,42496,41646,21254,20828,1.07049453815886E-06,5.3316799528938E-07,3.97747921917885E-07,3.97747921917885E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.81305192500557E-06,1.06697964978727E-07,1.70635396002684E-06,60.747353546245200,36.0,254.0,0.0,5.6421502541611500,22.76481699519530
792,792_scene,Mesh,632553,619901,316842,310505,1.06714141662892E-06,5.37711836968131E-07,4.01570295744612E-07,4.01570295744612E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.91473265273354E-06,1.07905942138596E-07,1.80682671059495E-06,61.072322378610100,36.33333206176760,254.0,0.0,4.748082014737030,18.242956008553000
792,792_open,Mesh,32515,31864,16360,16032,1.06508553642617E-06,5.29428776019406E-07,4.0154752629915E-07,4.0154752629915E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.72001600774862E-06,1.12854032878885E-07,1.60716197486973E-06,60.93606174430420,36.06666564941410,254.0,0.0,4.748082014737030,18.242956008553000
792,792_closed,Mesh,38642,37869,19325,18938,1.06248545976947E-06,5.21766388486999E-07,4.01370408488344E-07,4.01370408488344E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.63238013089949E-06,1.1768275427344E-07,1.51469737662605E-06,60.75492226568980,36.0,254.0,0.0,4.748082014737030,18.242956008553000
794,794_scene,Mesh,930437,911828,466787,457451,1.0770646819029E-06,5.44795403168905E-07,4.1143141385834E-07,4.1143141385834E-07,0.0013226057896465700,0.0,0.0013226057896465700,2.88892727999269E-06,1.17811405692462E-07,2.77111587430023E-06,60.85005445477760,36.66666793823240,254.0,0.0,6.057461159771300,25.04635697070680
794,794_open,Mesh,20848,20431,10534,10323,1.07598741575846E-06,5.33029958935731E-07,4.11577720906626E-07,4.11577720906626E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.67989914687106E-06,1.22816872897876E-07,1.55708227397318E-06,60.795959855839900,36.57143020629880,254.0,0.0,6.057461159771300,25.04635697070680
794,794_closed,Mesh,27352,26804,13678,13404,1.07433805462575E-06,5.26229126365737E-07,4.11491154538569E-07,4.11491154538569E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.56367793353E-06,1.27646042022931E-07,1.43603189150707E-06,60.698804643020700,36.5,254.0,0.0,6.057461159771300,25.04635697070680
795,795_scene,Mesh,1059565,1038373,531369,520741,1.06611775311052E-06,5.38493300859719E-07,4.16407426240944E-07,4.16407426240944E-07,0.0013226057896465700,0.0,0.0013226057896465700,2.55901491254959E-06,1.03820501621267E-07,2.45519441092832E-06,60.63257845628860,35.71428680419920,254.0,0.0,5.708021446240030,19.434342352808300
795,795_open,Mesh,11665,11431,5941,5822,1.06528943724008E-06,5.28676051314584E-07,4.16112431933882E-07,4.16112431933882E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.5497298536086E-06,1.30606514358931E-07,1.41912333924967E-06,60.7015867824575,35.83333206176760,254.0,0.0,5.708021446240030,19.434342352808300
795,795_closed,Mesh,18424,18055,9214,9029,1.06384371155942E-06,5.22044790859809E-07,4.15443384499611E-07,4.15443384499611E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.48343062198705E-06,1.35061009267992E-07,1.34836961271905E-06,60.73028812435850,36.0,254.0,0.0,5.708021446240030,19.434342352808300
800,800_scene,Mesh,872859,855401,439022,430241,1.07738467183278E-06,5.37468382117163E-07,4.25687715508262E-07,4.25687715508262E-07,0.0013226057896465700,0.0,0.0013226057896465700,2.19677387442332E-06,1.36574617348633E-07,2.06019925707469E-06,61.92540615333260,36.0,254.0,0.0,5.731768112377790,18.109250989144800
800,800_open,Mesh,42668,41814,21475,21045,1.07497937926635E-06,5.2881711645498E-07,4.25119964401861E-07,4.25119964401861E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.47663551472369E-06,1.41219914612828E-07,1.33541560011086E-06,61.8418629249123,35.71428680419920,254.0,0.0,5.731768112377790,18.109250989144800
800,800_closed,Mesh,53740,52665,26868,26330,1.07169615989115E-06,5.22439602022838E-07,4.24045018238023E-07,4.24045018238023E-07,0.0013226057896465700,0.0,0.0013226057896465700,1.41993971393032E-06,1.45335422414399E-07,1.27460429151592E-06,61.69778113963330,35.5,254.0,0.0,5.731768112377790,18.109250989144800
